L,L.INDS,industrial area,an area characterized by industrial activity
L,L.LAND,arctic land,a tract of land in the Arctic
L,L.LCTY,locality,a minor area or place of unspecified or mixed character and indefinite boundaries
L,L.MILB,military base,"a place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, a base from which operations can be initiated"
L,L.MNA,mining area,an area of mine sites where minerals and ores are extracted
L,L.MVA,maneuver area,a tract of land where military field exercises are carried out
L,L.NVB,naval base,"an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated"
L,L.OAS,oasis(-es),an area in a desert made productive by the availability of water
L,L.OILF,oilfield,an area containing a subterranean store of petroleum of economic value
L,L.PEAT,peat cutting area,an area where peat is harvested
L,L.PRK,park,"an area, often of forested land, maintained as a place of beauty, or for recreation"
L,L.PRT,port,"a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor"
L,L.QCKS,quicksand,"an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink"
L,L.RES,reserve,a tract of public land reserved for future use or restricted as to use
L,L.RESA,agricultural reserve,a tract of land reserved for agricultural reclamation and/or development
L,L.RESF,forest reserve,a forested area set aside for preservation or controlled use
L,L.RESH,hunting reserve,a tract of land used primarily for hunting
L,L.RESN,nature reserve,an area reserved for the maintenance of a natural habitat
L,L.RESP,palm tree reserve,an area of palm trees where use is controlled
L,L.RESV,reservation,"a tract of land set aside for aboriginal, tribal, or native populations"
L,L.RESW,wildlife reserve,a tract of public land reserved for the preservation of wildlife
L,L.RGN,region,an area distinguished by one or more observable physical or cultural characteristics
L,L.RGNE,economic region,a region of a country established for economic development or for statistical purposes
L,L.RGNH,historical region,a former historic area distinguished by one or more observable physical or cultural characteristics
L,L.RGNL,lake region,a tract of land distinguished by numerous lakes
L,L.RNGA,artillery range,a tract of land used for artillery firing practice
L,L.SALT,salt area,a shallow basin or flat where salt accumulates after periodic inundation
L,L.SNOW,snowfield,an area of permanent snow and ice forming the accumulation area of a glacier
L,L.TRB,tribal area,a tract of land used by nomadic or other tribes
P,P.PPL,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
P,P.PPLA,seat of a first-order administrative division,seat of a first-order administrative division (PPLC takes precedence over PPLA)
P,P.PPLA2,seat of a second-order administrative division,
P,P.PPLA3,seat of a third-order administrative division,
P,P.PPLA4,seat of a fourth-order administrative division,
P,P.PPLA5,seat of a fifth-order administrative division,
P,P.PPLC,capital of a political entity,
P,P.PPLCH,historical capital of a political entity,a former capital of a political entity
P,P.PPLF,farm village,a populated place where the population is largely engaged in agricultural activities
P,P.PPLG,seat of government of a political entity,
P,P.PPLH,historical populated place,a populated place that no longer exists
P,P.PPLL,populated locality,an area similar to a locality but with a small group of dwellings or other buildings
P,P.PPLQ,abandoned populated place,
P,P.PPLR,religious populated place,a populated place whose population is largely engaged in religious occupations
P,P.PPLS,populated places,"cities, towns, villages, or other agglomerations of buildings where people live and work"
P,P.PPLW,destroyed populated place,"a village, town or city destroyed by a natural disaster, or by war"
P,P.PPLX,section of populated place,
P,P.STLMT,israeli settlement,
R,R.CSWY,causeway,a raised roadway across wet ground or shallow water
R,R.OILP,oil pipeline,a pipeline used for transporting oil
R,R.PRMN,promenade,"a place for public walking, usually along a beach front"
R,R.PTGE,portage,"a place where boats, goods, etc., are carried overland between navigable waters"
R,R.RD,road,"an open way with improved surface for transportation of animals, people and vehicles"
R,R.RDA,ancient road,the remains of a road used by ancient cultures
R,R.RDB,road bend,a conspicuously curved or bent section of a road
R,R.RDCUT,road cut,an excavation cut through a hill or ridge for a road
R,R.RDJCT,road junction,a place where two or more roads join
R,R.RJCT,railroad junction,a place where two or more railroad tracks join
R,R.RR,railroad,a permanent twin steel-rail track on which freight and passenger cars move long distances
R,R.RRQ,abandoned railroad,
R,R.RTE,caravan route,the route taken by caravans
R,R.RYD,railroad yard,"a system of tracks used for the making up of trains, and switching and storing freight cars"
R,R.ST,street,a paved urban thoroughfare
R,R.STKR,stock route,a route taken by livestock herds
R,R.TNL,tunnel,a subterranean passageway for transportation
R,R.TNLN,natural tunnel,a cave that is open at both ends
R,R.TNLRD,road tunnel,a tunnel through which a road passes
R,R.TNLRR,railroad tunnel,a tunnel through which a railroad passes
R,R.TNLS,tunnels,subterranean passageways for transportation
R,R.TRL,trail,"a path, track, or route used by pedestrians, animals, or off-road vehicles"
S,S.ADMF,administrative facility,a government building
S,S.AGRF,agricultural facility,a building and/or tract of land used for improving agriculture
S,S.AIRB,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated"
S,S.AIRF,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo
S,S.AIRH,heliport,a place where helicopters land and take off
S,S.AIRP,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo"
S,S.AIRQ,abandoned airfield,
S,S.AIRT,terminal,airport facilities for the handling of freight and passengers
S,S.AMTH,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space
S,S.ANS,archaeological/prehistoric site,"a place where archeological remains, old structures, or cultural artifacts are located"
S,S.AQC,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture"
S,S.ARCH,arch,a natural or man-made structure in the form of an arch
S,S.ARCHV,archive,a place or institution where documents are preserved
S,S.ART,piece of art,"a piece of art, like a sculpture, painting. In contrast to monument (MNMT) it is not commemorative."
S,S.ASTR,astronomical station,a point on the earth whose position has been determined by observations of celestial bodies
S,S.ASYL,asylum,a facility where the insane are cared for and protected
S,S.ATHF,athletic field,"a tract of land used for playing team sports, and athletic track and field events"
S,S.ATM,automatic teller machine,"An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services. "
S,S.BANK,bank,"A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged. "
S,S.BCN,beacon,a fixed artificial navigation mark
S,S.BDG,bridge,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across"
S,S.BDGQ,ruined bridge,a destroyed or decayed bridge which is no longer functional
S,S.BLDA,apartment building,a building containing several individual apartments
S,S.BLDG,building(s),"a structure built for permanent use, as a house, factory, etc."
S,S.BLDO,office building,commercial building where business and/or services are conducted
S,S.BP,boundary marker,a fixture marking a point along a boundary
S,S.BRKS,barracks,a building for lodging military personnel
S,S.BRKW,breakwater,a structure erected to break the force of waves at the entrance to a harbor or port
S,S.BSTN,baling station,a facility for baling agricultural products
S,S.BTYD,boatyard,"a waterside facility for servicing, repairing, and building small vessels"
S,S.BUR,burial cave(s),a cave used for human burials
S,S.BUSTN,bus station,"a facility comprising ticket office, platforms, etc. for loading and unloading passengers "
S,S.BUSTP,bus stop,a place lacking station facilities
S,S.CARN,cairn,a heap of stones erected as a landmark or for other purposes
S,S.CAVE,cave(s),"an underground passageway or chamber, or cavity on the side of a cliff"
S,S.CH,church,a building for public Christian worship
S,S.CMP,camp(s),"a site occupied by tents, huts, or other shelters for temporary use"
S,S.CMPL,logging camp,a camp used by loggers
S,S.CMPLA,labor camp,a camp used by migrant or temporary laborers
S,S.CMPMN,mining camp,a camp used by miners
S,S.CMPO,oil camp,a camp used by oilfield workers
S,S.CMPQ,abandoned camp,
S,S.CMPRF,refugee camp,a camp used by refugees
S,S.CMTY,cemetery,a burial place or ground
S,S.COMC,communication center,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information"
S,S.CRRL,corral(s),a pen or enclosure for confining or capturing animals
S,S.CSNO,casino,"a building used for entertainment, especially gambling"
S,S.CSTL,castle,a large fortified building or set of buildings
S,S.CSTM,customs house,"a building in a port where customs and duties are paid, and where vessels are entered and cleared"
S,S.CTHSE,courthouse,a building in which courts of law are held
S,S.CTRA,atomic center,a facility where atomic research is carried out
S,S.CTRCM,community center,a facility for community recreation and other activities
S,S.CTRF,facility center,a place where more than one facility is situated
S,S.CTRM,medical center,"a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc."
S,S.CTRR,religious center,"a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship"
S,S.CTRS,space center,"a facility for launching, tracking, or controlling satellites and space vehicles"
S,S.CVNT,convent,a building where a community of nuns lives in seclusion
S,S.DAM,dam,a barrier constructed across a stream to impound water
S,S.DAMQ,ruined dam,a destroyed or decayed dam which is no longer functional
S,S.DAMSB,sub-surface dam,a dam put down to bedrock in a sand river
S,S.DARY,dairy,"a facility for the processing, sale and distribution of milk or milk products"
S,S.DCKD,dry dock,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed"
S,S.DCKY,dockyard,"a facility for servicing, building, or repairing ships"
S,S.DIKE,dike,an earth or stone embankment usually constructed for flood or stream control
S,S.DIP,diplomatic facility,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d'affaires, or other diplomatic, economic, military, or cultural mission"
S,S.DPOF,fuel depot,an area where fuel is stored
S,S.EST,estate(s),a large commercialized agricultural landholding with associated buildings and other facilities
S,S.ESTO,oil palm plantation,an estate specializing in the cultivation of oil palm trees
S,S.ESTR,rubber plantation,an estate which specializes in growing and tapping rubber trees
S,S.ESTSG,sugar plantation,an estate that specializes in growing sugar cane
S,S.ESTT,tea plantation,an estate which specializes in growing tea bushes
S,S.ESTX,section of estate,
S,S.FCL,facility,"a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc."
S,S.FNDY,foundry,a building or works where metal casting is carried out
S,S.FRM,farm,a tract of land with associated buildings devoted to agriculture
S,S.FRMQ,abandoned farm,
S,S.FRMS,farms,tracts of land with associated buildings devoted to agriculture
S,S.FRMT,farmstead,the buildings and adjacent service areas of a farm
S,S.FT,fort,a defensive structure or earthworks
S,S.FY,ferry,a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody
S,S.FYT,ferry terminal,"a place where ferries pick-up and discharge passengers, vehicles and or cargo"
S,S.GATE,gate,a controlled access entrance or exit
S,S.GDN,garden(s),an enclosure for displaying selected plant or animal life
S,S.GHAT,ghat,"a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing"
S,S.GHSE,guest house,a house used to provide lodging for paying guests
S,S.GOSP,gas-oil separator plant,a facility for separating gas from oil
S,S.GOVL,local government office,"a facility housing local governmental offices, usually a city, town, or village hall"
S,S.GRVE,grave,a burial site
S,S.HERM,hermitage,"a secluded residence, usually for religious sects"
S,S.HLT,halting place,a place where caravans stop for rest
S,S.HMSD,homestead,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand "
S,S.HSE,house(s),a building used as a human habitation
S,S.HSEC,country house,"a large house, mansion, or chateau, on a large estate"
S,S.HSP,hospital,"a building in which sick or injured, especially those confined to bed, are medically treated"
S,S.HSPC,clinic,a medical facility associated with a hospital for outpatients
S,S.HSPD,dispensary,a building where medical or dental aid is dispensed
S,S.HSPL,leprosarium,an asylum or hospital for lepers
S,S.HSTS,historical site,a place of historical importance
S,S.HTL,hotel,a building providing lodging and/or meals for the public
S,S.HUT,hut,a small primitive house
S,S.HUTS,huts,small primitive houses
S,S.INSM,military installation,a facility for use of and control by armed forces
S,S.ITTR,research institute,a facility where research is carried out
S,S.JTY,jetty,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting
S,S.LDNG,landing,"a place where boats receive or discharge passengers and freight, but lacking most port facilities"
S,S.LEPC,leper colony,a settled area inhabited by lepers in relative isolation
S,S.LIBR,library,"A place in which information resources such as books are kept for reading, reference, or lending."
S,S.LNDF,landfill,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land
S,S.LOCK,lock(s),a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another
S,S.LTHSE,lighthouse,a distinctive structure exhibiting a major navigation light
S,S.MALL,mall,"A large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways."
S,S.MAR,marina,"a harbor facility for small boats, yachts, etc."
S,S.MFG,factory,"one or more buildings where goods are manufactured, processed or fabricated"
S,S.MFGB,brewery,one or more buildings where beer is brewed
S,S.MFGC,cannery,a building where food items are canned
S,S.MFGCU,copper works,a facility for processing copper ore
S,S.MFGLM,limekiln,a furnace in which limestone is reduced to lime
S,S.MFGM,munitions plant,a factory where ammunition is made
S,S.MFGPH,phosphate works,a facility for producing fertilizer
S,S.MFGQ,abandoned factory,
S,S.MFGSG,sugar refinery,a facility for converting raw sugar into refined sugar
S,S.MKT,market,a place where goods are bought and sold at regular intervals
S,S.ML,mill(s),"a building housing machines for transforming, shaping, finishing, grinding, or extracting products"
S,S.MLM,ore treatment plant,a facility for improving the metal content of ore by concentration
S,S.MLO,olive oil mill,a mill where oil is extracted from olives
S,S.MLSG,sugar mill,a facility where sugar cane is processed into raw sugar
S,S.MLSGQ,former sugar mill,a sugar mill no longer used as a sugar mill
S,S.MLSW,sawmill,a mill where logs or lumber are sawn to specified shapes and sizes
S,S.MLWND,windmill,a mill or water pump powered by wind
S,S.MLWTR,water mill,a mill powered by running water
S,S.MN,mine(s),a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages
S,S.MNAU,gold mine(s),"a mine where gold ore, or alluvial gold is extracted"
S,S.MNC,coal mine(s),a mine where coal is extracted
S,S.MNCR,chrome mine(s),a mine where chrome ore is extracted
S,S.MNCU,copper mine(s),a mine where copper ore is extracted
S,S.MNFE,iron mine(s),a mine where iron ore is extracted
S,S.MNMT,monument,a commemorative structure or statue
S,S.MNN,salt mine(s),a mine from which salt is extracted
S,S.MNQ,abandoned mine,
S,S.MNQR,quarry(-ies),"a surface mine where building stone or gravel and sand, etc. are extracted"
S,S.MOLE,mole,a massive structure of masonry or large stones serving as a pier or breakwater
S,S.MSQE,mosque,a building for public Islamic worship
S,S.MSSN,mission,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion"
S,S.MSSNQ,abandoned mission,
S,S.MSTY,monastery,a building and grounds where a community of monks lives in seclusion
S,S.MTRO,metro station,"metro station (Underground, Tube, or Metro) "
S,S.MUS,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited
S,S.NOV,novitiate,a religious house or school where novices are trained
S,S.NSY,nursery(-ies),a place where plants are propagated for transplanting or grafting
S,S.OBPT,observation point,a wildlife or scenic observation point
S,S.OBS,observatory,a facility equipped for observation of atmospheric or space phenomena
S,S.OBSR,radio observatory,a facility equipped with an array of antennae for receiving radio waves from space
S,S.OILJ,oil pipeline junction,a section of an oil pipeline where two or more pipes join together
S,S.OILQ,abandoned oil well,
S,S.OILR,oil refinery,a facility for converting crude oil into refined petroleum products
S,S.OILT,tank farm,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored"
S,S.OILW,oil well,a well from which oil may be pumped
S,S.OPRA,opera house,A theater designed chiefly for the performance of operas.
S,S.PAL,palace,"a large stately house, often a royal or presidential residence"
S,S.PGDA,pagoda,"a tower-like storied structure, usually a Buddhist shrine"
S,S.PIER,pier,a structure built out into navigable water on piles providing berthing for ships and recreation
S,S.PKLT,parking lot,an area used for parking vehicles
S,S.PMPO,oil pumping station,a facility for pumping oil through a pipeline
S,S.PMPW,water pumping station,a facility for pumping water from a major well or through a pipeline
S,S.PO,post office,"a public building in which mail is received, sorted and distributed"
S,S.PP,police post,a building in which police are stationed
S,S.PPQ,abandoned police post,
S,S.PRKGT,park gate,a controlled access to a park
S,S.PRKHQ,park headquarters,a park administrative facility
